2025-02-04 14:55:46,103 - Epoch: 27.0, Eval Loss: 0.3295525312423706, Exact Match: 0.38666666666666666, Multilabel Accuracy: 0.9026666666666666, F1 Macro: 0.4533589628502105, F1 Micro: None, Hamming Loss: 0.09733333333333333
2025-02-04 14:55:48,275 - Epoch: 28.0, Eval Loss: 0.3244315981864929, Exact Match: 0.41333333333333333, Multilabel Accuracy: 0.904, F1 Macro: 0.46654086457277943, F1 Micro: None, Hamming Loss: 0.096
2025-02-04 14:55:50,416 - Epoch: 29.0, Eval Loss: 0.3339649736881256, Exact Match: 0.4, Multilabel Accuracy: 0.9, F1 Macro: 0.44585790717929585, F1 Micro: None, Hamming Loss: 0.1
2025-02-04 14:55:52,558 - Epoch: 30.0, Eval Loss: 0.33103030920028687, Exact Match: 0.41333333333333333, Multilabel Accuracy: 0.9053333333333333, F1 Macro: 0.4669550219635109, F1 Micro: None, Hamming Loss: 0.09466666666666666
2025-02-04 14:55:54,700 - Epoch: 31.0, Eval Loss: 0.351236492395401, Exact Match: 0.4266666666666667, Multilabel Accuracy: 0.9026666666666666, F1 Macro: 0.4742583732057416, F1 Micro: None, Hamming Loss: 0.09733333333333333
2025-02-04 14:55:56,842 - Epoch: 32.0, Eval Loss: 0.324814110994339, Exact Match: 0.4266666666666667, Multilabel Accuracy: 0.9053333333333333, F1 Macro: 0.45834249084249085, F1 Micro: None, Hamming Loss: 0.09466666666666666
2025-02-04 14:55:58,989 - Epoch: 33.0, Eval Loss: 0.3405459523200989, Exact Match: 0.38666666666666666, Multilabel Accuracy: 0.9026666666666666, F1 Macro: 0.47499905678173937, F1 Micro: None, Hamming Loss: 0.09733333333333333
2025-02-04 14:56:01,142 - Epoch: 34.0, Eval Loss: 0.3412538170814514, Exact Match: 0.4, Multilabel Accuracy: 0.9013333333333333, F1 Macro: 0.45099846390168974, F1 Micro: None, Hamming Loss: 0.09866666666666667
2025-02-04 14:56:03,296 - Epoch: 35.0, Eval Loss: 0.3432985544204712, Exact Match: 0.41333333333333333, Multilabel Accuracy: 0.9066666666666666, F1 Macro: 0.4745609146980928, F1 Micro: None, Hamming Loss: 0.09333333333333334
2025-02-04 14:56:05,449 - Epoch: 36.0, Eval Loss: 0.3602345883846283, Exact Match: 0.4, Multilabel Accuracy: 0.9013333333333333, F1 Macro: 0.45766081871345027, F1 Micro: None, Hamming Loss: 0.09866666666666667
2025-02-04 14:56:07,595 - Epoch: 37.0, Eval Loss: 0.35898491740226746, Exact Match: 0.37333333333333335, Multilabel Accuracy: 0.9026666666666666, F1 Macro: 0.4567283025154089, F1 Micro: None, Hamming Loss: 0.09733333333333333
2025-02-04 14:56:09,735 - Epoch: 38.0, Eval Loss: 0.35752546787261963, Exact Match: 0.38666666666666666, Multilabel Accuracy: 0.9026666666666666, F1 Macro: 0.4543865317725162, F1 Micro: None, Hamming Loss: 0.09733333333333333
2025-02-04 14:56:11,876 - Epoch: 39.0, Eval Loss: 0.34525254368782043, Exact Match: 0.4266666666666667, Multilabel Accuracy: 0.904, F1 Macro: 0.46278033794162826, F1 Micro: None, Hamming Loss: 0.096
2025-02-04 14:56:15,254 - Epoch: 40.0, Eval Loss: 0.35223904252052307, Exact Match: 0.41333333333333333, Multilabel Accuracy: 0.9026666666666666, F1 Macro: 0.45897081413210444, F1 Micro: None, Hamming Loss: 0.09733333333333333
2025-02-04 14:56:17,393 - Epoch: 41.0, Eval Loss: 0.37690117955207825, Exact Match: 0.38666666666666666, Multilabel Accuracy: 0.9, F1 Macro: 0.4622702022848758, F1 Micro: None, Hamming Loss: 0.1
2025-02-04 14:56:19,560 - Epoch: 42.0, Eval Loss: 0.3771992027759552, Exact Match: 0.38666666666666666, Multilabel Accuracy: 0.9026666666666666, F1 Macro: 0.4742439431913116, F1 Micro: None, Hamming Loss: 0.09733333333333333
2025-02-04 14:56:21,723 - Epoch: 43.0, Eval Loss: 0.36431464552879333, Exact Match: 0.4, Multilabel Accuracy: 0.9, F1 Macro: 0.46464669243667184, F1 Micro: None, Hamming Loss: 0.1
2025-02-04 14:56:23,873 - Epoch: 44.0, Eval Loss: 0.3909572660923004, Exact Match: 0.38666666666666666, Multilabel Accuracy: 0.8973333333333333, F1 Macro: 0.4410292210438945, F1 Micro: None, Hamming Loss: 0.10266666666666667
2025-02-04 14:56:26,025 - Epoch: 45.0, Eval Loss: 0.37327471375465393, Exact Match: 0.4, Multilabel Accuracy: 0.8973333333333333, F1 Macro: 0.46035482156025453, F1 Micro: None, Hamming Loss: 0.10266666666666667
2025-02-04 14:56:28,180 - Epoch: 46.0, Eval Loss: 0.37021708488464355, Exact Match: 0.41333333333333333, Multilabel Accuracy: 0.904, F1 Macro: 0.47733451536643023, F1 Micro: None, Hamming Loss: 0.096
2025-02-04 14:56:30,324 - Epoch: 47.0, Eval Loss: 0.3819931149482727, Exact Match: 0.4, Multilabel Accuracy: 0.9053333333333333, F1 Macro: 0.4781810035842294, F1 Micro: None, Hamming Loss: 0.09466666666666666
2025-02-04 14:56:32,467 - Epoch: 48.0, Eval Loss: 0.3864589035511017, Exact Match: 0.4, Multilabel Accuracy: 0.8973333333333333, F1 Macro: 0.46478151328957784, F1 Micro: None, Hamming Loss: 0.10266666666666667
2025-02-04 14:56:34,601 - Epoch: 49.0, Eval Loss: 0.372810959815979, Exact Match: 0.41333333333333333, Multilabel Accuracy: 0.9026666666666666, F1 Macro: 0.46130276933468417, F1 Micro: None, Hamming Loss: 0.09733333333333333
2025-02-04 14:56:36,744 - Epoch: 50.0, Eval Loss: 0.3816889822483063, Exact Match: 0.38666666666666666, Multilabel Accuracy: 0.9, F1 Macro: 0.4619527419674155, F1 Micro: None, Hamming Loss: 0.1
2025-02-04 14:56:38,886 - Epoch: 51.0, Eval Loss: 0.38786643743515015, Exact Match: 0.38666666666666666, Multilabel Accuracy: 0.9, F1 Macro: 0.44359288097886546, F1 Micro: None, Hamming Loss: 0.1
2025-02-04 14:56:41,039 - Epoch: 52.0, Eval Loss: 0.38589614629745483, Exact Match: 0.38666666666666666, Multilabel Accuracy: 0.8986666666666666, F1 Macro: 0.45922845476036966, F1 Micro: None, Hamming Loss: 0.10133333333333333
2025-02-04 14:56:44,423 - Epoch: 53.0, Eval Loss: 0.3897205591201782, Exact Match: 0.38666666666666666, Multilabel Accuracy: 0.9, F1 Macro: 0.4593360267220111, F1 Micro: None, Hamming Loss: 0.1
2025-02-04 14:56:46,605 - Epoch: 54.0, Eval Loss: 0.38594850897789, Exact Match: 0.4, Multilabel Accuracy: 0.9026666666666666, F1 Macro: 0.4689897063756908, F1 Micro: None, Hamming Loss: 0.09733333333333333
2025-02-04 14:56:48,908 - Epoch: 55.0, Eval Loss: 0.3927379548549652, Exact Match: 0.38666666666666666, Multilabel Accuracy: 0.9, F1 Macro: 0.4626916582235731, F1 Micro: None, Hamming Loss: 0.1
2025-02-04 14:56:51,230 - Epoch: 56.0, Eval Loss: 0.3962673842906952, Exact Match: 0.38666666666666666, Multilabel Accuracy: 0.9, F1 Macro: 0.4626916582235731, F1 Micro: None, Hamming Loss: 0.1
2025-02-04 14:56:53,558 - Epoch: 57.0, Eval Loss: 0.3822483420372009, Exact Match: 0.4, Multilabel Accuracy: 0.904, F1 Macro: 0.47437147977470556, F1 Micro: None, Hamming Loss: 0.096
2025-02-04 14:56:55,883 - Epoch: 58.0, Eval Loss: 0.3925219476222992, Exact Match: 0.38666666666666666, Multilabel Accuracy: 0.9, F1 Macro: 0.46052417053884415, F1 Micro: None, Hamming Loss: 0.1
2025-02-04 14:56:58,197 - Epoch: 59.0, Eval Loss: 0.39424604177474976, Exact Match: 0.38666666666666666, Multilabel Accuracy: 0.9, F1 Macro: 0.4626916582235731, F1 Micro: None, Hamming Loss: 0.1
2025-02-04 14:57:00,520 - Epoch: 60.0, Eval Loss: 0.39727216958999634, Exact Match: 0.38666666666666666, Multilabel Accuracy: 0.9, F1 Macro: 0.4626916582235731, F1 Micro: None, Hamming Loss: 0.1
2025-02-04 14:57:02,846 - Epoch: 61.0, Eval Loss: 0.3900429606437683, Exact Match: 0.4, Multilabel Accuracy: 0.904, F1 Macro: 0.47293906810035846, F1 Micro: None, Hamming Loss: 0.096
2025-02-04 14:57:05,028 - Epoch: 62.0, Eval Loss: 0.40146443247795105, Exact Match: 0.38666666666666666, Multilabel Accuracy: 0.9013333333333333, F1 Macro: 0.46576226577693935, F1 Micro: None, Hamming Loss: 0.09866666666666667
2025-02-04 14:57:07,172 - Epoch: 63.0, Eval Loss: 0.39780357480049133, Exact Match: 0.38666666666666666, Multilabel Accuracy: 0.9026666666666666, F1 Macro: 0.4687762416794675, F1 Micro: None, Hamming Loss: 0.09733333333333333
2025-02-04 14:57:09,304 - Epoch: 64.0, Eval Loss: 0.39348840713500977, Exact Match: 0.4, Multilabel Accuracy: 0.9013333333333333, F1 Macro: 0.46828305607303544, F1 Micro: None, Hamming Loss: 0.09866666666666667
2025-02-04 14:57:11,452 - Epoch: 65.0, Eval Loss: 0.39923903346061707, Exact Match: 0.38666666666666666, Multilabel Accuracy: 0.8986666666666666, F1 Macro: 0.4567146467293203, F1 Micro: None, Hamming Loss: 0.10133333333333333
2025-02-04 14:57:14,860 - Epoch: 66.0, Eval Loss: 0.40015193819999695, Exact Match: 0.38666666666666666, Multilabel Accuracy: 0.9013333333333333, F1 Macro: 0.46353814644137226, F1 Micro: None, Hamming Loss: 0.09866666666666667
2025-02-04 14:57:17,009 - Epoch: 67.0, Eval Loss: 0.3949338495731354, Exact Match: 0.4, Multilabel Accuracy: 0.9026666666666666, F1 Macro: 0.47209257988255937, F1 Micro: None, Hamming Loss: 0.09733333333333333
2025-02-04 14:57:19,156 - Epoch: 68.0, Eval Loss: 0.3921334743499756, Exact Match: 0.41333333333333333, Multilabel Accuracy: 0.904, F1 Macro: 0.47733451536643023, F1 Micro: None, Hamming Loss: 0.096
2025-02-04 14:57:21,312 - Epoch: 69.0, Eval Loss: 0.39541125297546387, Exact Match: 0.41333333333333333, Multilabel Accuracy: 0.9026666666666666, F1 Macro: 0.47352499155690647, F1 Micro: None, Hamming Loss: 0.09733333333333333
2025-02-04 14:57:24,687 - Epoch: 70.0, Eval Loss: 0.3959881663322449, Exact Match: 0.41333333333333333, Multilabel Accuracy: 0.9026666666666666, F1 Macro: 0.47352499155690647, F1 Micro: None, Hamming Loss: 0.09733333333333333
2025-02-04 14:57:24,851 - Epoch: 70.0, Eval Loss: 0.3959881663322449, Exact Match: 0.41333333333333333, Multilabel Accuracy: 0.9026666666666666, F1 Macro: 0.47352499155690647, F1 Micro: None, Hamming Loss: 0.09733333333333333
